Material,Size,Factory Cost,Retail Price,Profit per Print,Margin,Customer Total (incl. $9 shipping)
Poster,8x12,3.90,5.20,1.30,25.0%,14.20
Poster,12x12,8.00,10.67,2.67,25.0%,19.67
Poster,12x16,10.00,13.33,3.33,25.0%,22.33
Poster,16x20,12.00,16.00,4.00,25.0%,25.00
Poster,16x24,14.00,18.67,4.67,25.0%,27.67
Poster,20x20,15.00,20.00,5.00,25.0%,29.00
Poster,12x36,16.00,21.33,5.33,25.0%,30.33
Poster,20x24,17.00,22.67,5.67,25.0%,31.67
Poster,20x30,17.00,22.67,5.67,25.0%,31.67
Poster,24x36,19.00,25.33,6.33,25.0%,34.33
Poster Framed,12x16,30.00,40.00,10.00,25.0%,49.00
Poster Framed,16x24,48.00,64.00,16.00,25.0%,73.00
Poster Framed,24x36,86.00,114.67,28.67,25.0%,123.67
Framed Photo,8x8,18.90,25.20,6.30,25.0%,34.20
Framed Photo,8x12,24.90,33.20,8.30,25.0%,42.20
Framed Photo,12x16,34.90,46.53,11.63,25.0%,55.53
Framed Photo,16x16,47.90,63.87,15.97,25.0%,72.87
Framed Photo,16x20,54.90,73.20,18.30,25.0%,82.20
Framed Photo,20x30,68.90,91.87,22.97,25.0%,100.87
Metal,8x8,9.00,12.00,3.00,25.0%,21.00
Metal,8x10,15.00,20.00,5.00,25.0%,29.00
Metal,8x12,16.00,21.33,5.33,25.0%,30.33
Metal,11x14,26.00,34.67,8.67,25.0%,43.67
Metal,12x16,27.00,36.00,9.00,25.0%,45.00
Metal,12x18,35.00,46.67,11.67,25.0%,55.67
Metal,16x20,49.00,65.33,16.33,25.0%,74.33
Metal,16x24,50.00,66.67,16.67,25.0%,75.67
Metal,18x24,57.00,76.00,19.00,25.0%,85.00
Metal,20x24,87.00,116.00,29.00,25.0%,125.00
Metal,20x30,92.00,122.67,30.67,25.0%,131.67
Metal,24x30,100.00,133.33,33.33,25.0%,142.33
Metal,24x36,105.00,140.00,35.00,25.0%,149.00
Acrylic,8x8,9.00,12.00,3.00,25.0%,21.00
Acrylic,8x10,12.00,16.00,4.00,25.0%,25.00
Acrylic,8x12,13.00,17.33,4.33,25.0%,26.33
Acrylic,11x14,25.00,33.33,8.33,25.0%,42.33
Acrylic,12x16,26.00,34.67,8.67,25.0%,43.67
Acrylic,12x18,35.00,46.67,11.67,25.0%,55.67
Acrylic,16x20,45.00,60.00,15.00,25.0%,69.00
Acrylic,16x24,50.00,66.67,16.67,25.0%,75.67
Acrylic,18x24,57.00,76.00,19.00,25.0%,85.00
Acrylic,20x24,85.00,113.33,28.33,25.0%,122.33
Acrylic,20x30,95.00,126.67,31.67,25.0%,135.67
Acrylic,24x30,105.00,140.00,35.00,25.0%,149.00
Acrylic,24x36,115.00,153.33,38.33,25.0%,162.33
Canvas,8x8,4.30,5.73,1.43,25.0%,14.73
Canvas,8x10,12.00,16.00,4.00,25.0%,25.00
Canvas,8x12,13.60,18.13,4.53,25.0%,27.13
Canvas,8x14,18.00,24.00,6.00,25.0%,33.00
Canvas,10x12,19.00,25.33,6.33,25.0%,34.33
Canvas,10x14,22.00,29.33,7.33,25.0%,38.33
Canvas,12x12,22.00,29.33,7.33,25.0%,38.33
Canvas,12x16,23.00,30.67,7.67,25.0%,39.67
Canvas,12x18,25.00,33.33,8.33,25.0%,42.33
Canvas,12x20,25.00,33.33,8.33,25.0%,42.33
Canvas,16x16,28.00,37.33,9.33,25.0%,46.33
Canvas,16x20,31.00,41.33,10.33,25.0%,50.33
Canvas,16x24,35.00,46.67,11.67,25.0%,55.67
Canvas,20x20,35.00,46.67,11.67,25.0%,55.67
Canvas,18x24,36.00,48.00,12.00,25.0%,57.00
Canvas,16x30,37.00,49.33,12.33,25.0%,58.33
Canvas,20x24,39.00,52.00,13.00,25.0%,61.00
Canvas,20x30,43.00,57.33,14.33,25.0%,66.33
Canvas,24x30,47.00,62.67,15.67,25.0%,71.67
Canvas,24x36,52.00,69.33,17.33,25.0%,78.33
